WGS_id	Clade
PNUSAC000392	1
PNUSAC000643	1
PNUSAC001641	1
PNUSAC002880	1
PNUSAC003089	1
PNUSAC002743	1
PNUSAC003197	1
PNUSAC001921	1
PNUSAC003810	1
2016AY-0371	1
PNUSAC003024	1
PNUSAC001462	1
PNUSAC003513	1
2017D-0180	1
PNUSAC001842	1
PNUSAC003152	1
PNUSAC003268	1
PNUSAC001817	1
PNUSAC003286	1
PNUSAC001644	1
PNUSAC001816	2
PNUSAC003081	2
PNUSAC000260	2
PNUSAC001091	2
PNUSAC000960	2
PNUSAC003026	2
PNUSAC003292	2
2017D-0139	2
2017D-0136	2
CFSAN069649	2
PNUSAC002574	2
PNUSAC001449	2
2017D-0140	2
PNUSAC003758	2
PNUSAC001027	2
2017D-0138	2
PNUSAC003153	2
PNUSAC002580	2
PNUSAC003754	2
PNUSAC002906	2
CFSAN071607	2
2017D-0132	2
PNUSAC003525	2
PNUSAC003734	2
PNUSAC003829	2
PNUSAC003753	2
PNUSAC003325	2
PNUSAC003814	2
PNUSAC003228	2
PNUSAC003169	2
PNUSAC002518	2
PNUSAC002416	2
PNUSAC003051	2
PNUSAC003029	2
2017D-0163	2
PNUSAC002744	2
