WGS_id	Clade
PNUSAC000392	1
PNUSAC000643	1
PNUSAC001641	1
PNUSAC002880	1
PNUSAC003089	1
PNUSAC002743	1
PNUSAC003197	2
PNUSAC001921	2
PNUSAC003810	2
2016AY-0371	2
PNUSAC003024	2
PNUSAC001462	2
PNUSAC003513	2
2017D-0180	2
PNUSAC001842	2
PNUSAC003152	2
PNUSAC003268	2
PNUSAC001817	2
PNUSAC003286	2
PNUSAC001644	2
PNUSAC001816	3
PNUSAC003081	3
PNUSAC000260	3
PNUSAC001091	3
PNUSAC000960	3
PNUSAC003026	3
PNUSAC003292	3
2017D-0139	3
2017D-0136	3
CFSAN069649	3
PNUSAC002574	3
PNUSAC001449	3
2017D-0140	3
PNUSAC003758	3
PNUSAC001027	3
2017D-0138	3
PNUSAC003153	3
PNUSAC002580	3
PNUSAC003754	3
PNUSAC002906	3
CFSAN071607	3
2017D-0132	3
PNUSAC003525	3
PNUSAC003734	3
PNUSAC003829	3
PNUSAC003753	3
PNUSAC003325	3
PNUSAC003814	3
PNUSAC003228	3
PNUSAC003169	3
PNUSAC002518	3
PNUSAC002416	3
PNUSAC003051	3
PNUSAC003029	3
2017D-0163	3
PNUSAC002744	3
